split,dataset,fingerprint,model,training,train_time,r2,rmse,mae,r2_std,rmse_std
cs,lo,morgan,Ridge,cv,0.0830373764038086,0.40121870451221053,1.408455000733259,1.0309025623359913,0.06935445753869032,0.07708662056838304
cs,lo,morgan,SVR,simple,0.4132070541381836,0.2405779565229591,1.5861726708516712,1.1392814956982815,,
cs,lo,morgan,SVR,cv,1.3088126182556152,0.2272551920859609,1.6000255258467695,1.1548089904587906,0.0039195801328786055,0.0040526890418682805
cs,lo,morgan,RandomForest,simple,0.6867733001708984,0.3409584510168866,1.4776285067032457,1.0765884648002597,,
cs,lo,morgan,RandomForest,cv,2.833847999572754,0.33904033340801665,1.4797772376901905,1.0667474816032338,0.021156804847026436,0.02326986940797025
cs,lo,morgan,XGBoost,simple,0.224470853805542,0.4135526354395658,1.3938735684859846,0.9960543519794348,,
cs,lo,morgan,XGBoost,cv,1.1631207466125488,0.41870218253233615,1.3877403291375863,0.9788344759234283,0.03879519217651763,0.043215676822919685
cs,lo,morgan,LightGBM,simple,0.07718443870544434,0.35269997490501037,1.4644065922461116,1.0850607490962534,,
cs,lo,morgan,LightGBM,cv,0.33615899085998535,0.3654042497808401,1.449964745855911,1.076134127915795,0.025226719794827268,0.027998709260471176
cs,ws,morgan,Ridge,simple,0.010908842086791992,-5.893997098427306e-05,1.9986528070252296,1.5637532014076154,,
cs,ws,morgan,Ridge,cv,0.03471183776855469,0.22079822550656447,1.7642069394597544,1.3693029229327884,0.04110322143939224,0.04220043740205097
cs,ws,morgan,SVR,simple,0.09261608123779297,0.2804131163603827,1.6953765775540444,1.2913905305473932,,
cs,ws,morgan,SVR,cv,0.30954957008361816,0.23986983495167435,1.7424829742058785,1.3165274904539688,0.015587350950380748,0.017849303447612576
cs,ws,morgan,RandomForest,simple,0.31716036796569824,0.5296959146065525,1.3706101235279065,1.1033828203390326,,
cs,ws,morgan,RandomForest,cv,1.3037865161895752,0.5040042904568057,1.4075489899473579,1.1146130555555556,0.019319076404948912,0.026828789425310057
cs,ws,morgan,XGBoost,simple,0.16954421997070312,0.5531535928713478,1.3359914991374227,1.0347163912503408,,
cs,ws,morgan,XGBoost,cv,0.8472874164581299,0.572599184201524,1.3065987337575835,1.0330056607286737,0.044176273246953716,0.06345803238107742
cs,ws,morgan,LightGBM,simple,0.04817676544189453,0.47187665631667763,1.4524200706816663,1.155979508612995,,
cs,ws,morgan,LightGBM,cv,0.22632312774658203,0.38513499622368075,1.5671640013226114,1.2816588209137858,0.023250134161718037,0.029009796034825966
cs,hu,morgan,Ridge,simple,0.03212404251098633,-0.48085979677726254,2.4594365923699426,1.7881209363124166,,
cs,hu,morgan,Ridge,cv,0.11674261093139648,0.09153585877706671,1.9263382743950646,1.4481504478665113,0.12629902080898361,0.11493194962843337
cs,hu,morgan,SVR,simple,1.0623087882995605,0.3058403922513955,1.6838691038693874,1.2993286109631124,,
cs,hu,morgan,SVR,cv,3.131072759628296,0.27596184792652423,1.7197265040610885,1.3312157203034973,0.005570888328051715,0.006599140294250709
cs,hu,morgan,RandomForest,simple,0.9213621616363525,0.5309719445278578,1.3841337857294729,1.0274693979523923,,
cs,hu,morgan,RandomForest,cv,3.5150442123413086,0.5343415167553222,1.3791529049975926,1.0302934576868135,0.009168753222811495,0.01330358571658892
cs,hu,morgan,XGBoost,simple,0.2953197956085205,0.6280714465219864,1.2325609930126697,0.9198101307824255,,
cs,hu,morgan,XGBoost,cv,1.1539766788482666,0.6178824265652906,1.249329987806973,0.9243144220679768,0.023078248402345628,0.03540602398415037
cs,hu,morgan,LightGBM,simple,0.10207414627075195,0.5312072896143629,1.3837864824552617,1.0560200818633434,,
cs,hu,morgan,LightGBM,cv,0.4244353771209717,0.5349684543249846,1.3782241836011222,1.047485065509981,0.020879814117615008,0.02990347952588392
cl,de,morgan,Ridge,simple,0.037198781967163086,-1.4537538319303271,2.780127628958241,2.1564488720688324,,
cl,de,morgan,Ridge,cv,0.10082006454467773,-0.6334206816773524,2.268288356299081,1.785548029401211,0.1993298560034806,0.12375829579370634
cl,de,morgan,SVR,simple,0.8407154083251953,0.15069788397981465,1.6356122005526499,1.310214692406845,,
cl,de,morgan,SVR,cv,2.617356061935425,0.13690685541846004,1.6488383191009885,1.3228276961467296,0.007609902273981934,0.007268356914415035
cl,de,morgan,RandomForest,simple,0.7387526035308838,0.25252779342980347,1.5344288760479827,1.2625491373152706,,
cl,de,morgan,RandomForest,cv,3.723175525665283,0.25061986281116055,1.5363859508511724,1.2718622504089778,0.018810145756777714,0.01895270478777871
cl,de,morgan,XGBoost,simple,0.3449058532714844,0.27507201920328705,1.5111120538303713,1.1859239104534018,,
cl,de,morgan,XGBoost,cv,1.604034662246704,0.33094180179678,1.4517144064835426,1.168358952096824,0.06500006299476506,0.06671145346198526
cl,de,morgan,LightGBM,simple,0.13621973991394043,0.28301666648104185,1.5028089353674385,1.2049374787112428,,
cl,de,morgan,LightGBM,cv,0.6461870670318604,0.3145334917283473,1.469407859451117,1.193309886545964,0.031554917158741494,0.03308664802993759
cl,lo,morgan,Ridge,simple,0.017094135284423828,0.1861647091053501,1.4288629049511619,1.0961398135197251,,
