split_type,dataset,fingerprint,model,training,r2,rmse,mae,mse,n_samples,r2_std,rmse_std,r2_mean_folds,rmse_mean_folds
cl,lo,avalon,XGBoost,simple,0.3582662984803897,1.2688191537567535,1.0131111737939558,1.6099020449400039,202,,,,
cl,lo,maccs,DNN,cv,0.5333469402789026,1.0819803190948016,0.8336046732796264,1.1706814109084889,202,0.04360970583937962,0.04724404573582776,0.4690028250236148,1.153199011323276
cl,lo,maccs,DNN,simple,0.5248192040940949,1.0918217526067922,0.8274675300252367,1.1920747394653675,202,,,,
cl,lo,maccs,LightGBM,cv,0.5120606218532322,1.106382343814736,0.8653115718505642,1.2240818907049886,202,0.030249482469741837,0.03279261682914509,0.4745010530430812,1.1477069879731645
cl,lo,maccs,LightGBM,simple,0.501658225396761,1.1181136502223534,0.8878822373241895,1.2501781348135552,202,,,,
cl,lo,maccs,RandomForest,cv,0.3870126944581239,1.2400752583440398,0.9696669572448766,1.537786646357037,202,0.10288847213080161,0.10020812542298509,0.3354661032126496,1.287267914264469
cl,lo,maccs,RandomForest,simple,0.37188484187471915,1.2552838442547365,0.9650109489789372,1.5757375296469496,202,,,,
cl,lo,maccs,Ridge,cv,-0.0042838985802280405,1.5872690650894896,1.162015452314437,2.5194230849900623,202,0.20728398370768855,0.1464437443105261,-0.22613081160157175,1.7477183351396453
cl,lo,maccs,Ridge,simple,-0.05389692638687693,1.626003107501669,1.1945013127491144,2.643886105605084,202,,,,
cl,lo,maccs,SVR,cv,0.39336126472342003,1.233636956083291,0.9608950055505149,1.5218601394144478,202,0.019288938052322784,0.019602068330615022,0.38424554128568966,1.2427164988437922
cl,lo,maccs,SVR,simple,0.41454918733098933,1.2119020186723495,0.9499869621894776,1.4687065028621156,202,,,,
cl,lo,maccs,XGBoost,cv,0.44583711335072185,1.1790738859060779,0.905474919093895,1.3902152284256588,202,0.1008693477848866,0.09750926440430477,0.3272819479076102,1.2954241352707654
cl,lo,maccs,XGBoost,simple,0.3311926005204505,1.2953073711922372,0.9942617459688451,1.6778211858649443,202,,,,
cl,lo,morgan,DNN,cv,0.4034830215072778,1.2233020597404065,0.9106897721386787,1.4964679293651209,202,0.017579021568494137,0.017742050155480665,0.3771878853296339,1.2498476429372007
cl,lo,morgan,DNN,simple,0.39371298850186476,1.2332792783278221,0.9159087993782308,1.5209777783527936,202,,,,
cl,lo,morgan,LightGBM,cv,0.2792337916265716,1.3446817510456475,1.02276588215696,1.8081690115951885,202,0.03590180143937251,0.03231954418267765,0.22409231542165192,1.3947962453461593
cl,lo,morgan,LightGBM,simple,0.24515011714382395,1.3761082492231829,1.0273960145185812,1.8936739135800937,202,,,,
cl,lo,morgan,RandomForest,cv,0.3273428917783069,1.2990299682649786,0.9860986384071666,1.6874788584505114,202,0.026857349600100732,0.025668751136071994,0.30036572796240046,1.3245742492151096
cl,lo,morgan,RandomForest,simple,0.27440372774678556,1.3491797796266392,1.022879874516942,1.8202860777533865,202,,,,
cl,lo,morgan,Ridge,cv,0.29374435870050375,1.3310772696404258,1.0117718506410092,1.7717666977534108,202,0.04897797484444574,0.044122189133886325,0.20631095977538855,1.4103765506369386
cl,lo,morgan,Ridge,simple,0.18616443120914383,1.4288631489044232,1.0961412732446514,2.041649898297064,202,,,,
cl,lo,morgan,SVR,cv,0.2546451508816643,1.367426030431607,1.0355481209247641,1.869853948701942,202,0.006686037321996419,0.006140577073240355,0.2528927788141905,1.369018763955786
cl,lo,morgan,SVR,simple,0.2597454336890844,1.3627395168406597,1.0312893678182555,1.857058990759115,202,,,,
cl,lo,morgan,XGBoost,cv,0.2407606900602819,1.3801034615954049,1.0671199548133576,1.904685564707619,202,0.024171995107509878,0.02082390427866588,0.1634321786330293,1.4485317130293633
cl,lo,morgan,XGBoost,simple,0.24703134848103037,1.374392416070775,1.0590257838175992,1.888954513352862,202,,,,
cl,ws,avalon,DNN,cv,0.46761826614426827,1.274923134164328,1.0803104162573813,1.6254289980273926,100,0.065876461760732,0.07692603029873188,0.4148878938591201,1.3343552384908508
cl,ws,avalon,DNN,simple,0.3671041711151851,1.390076000222644,1.1548083536297082,1.9323112863949838,100,,,,
cl,ws,avalon,LightGBM,cv,0.4058141069933421,1.346894553957736,1.1154454345765181,1.8141249394810084,100,0.022322351570435054,0.024502073108455914,0.3668646494812246,1.3901230969790206
cl,ws,avalon,LightGBM,simple,0.36716186354743907,1.3900126416970335,1.1655332845292046,1.932135144077566,100,,,,
cl,ws,avalon,RandomForest,cv,0.3411936155424302,1.4182452188769092,1.1727109376035074,2.011419500867212,100,0.09074592762837443,0.09186994681024026,0.3100174717207572,1.448504103339813
cl,ws,avalon,RandomForest,simple,0.3322339422433598,1.4278566176340721,1.1709067201465198,2.0387745205214127,100,,,,
cl,ws,avalon,Ridge,cv,-0.3586473675318953,2.0366940955902755,1.4939146984171916,4.148122839012291,100,0.3868526246966939,0.25681670991217476,-0.9190571103326594,2.4069005137091493
cl,ws,avalon,Ridge,simple,-0.9810876711951035,2.459372293898385,1.7057420226315037,6.048512079995003,100,,,,
cl,ws,avalon,SVR,cv,0.23891902316937397,1.5243611156975472,1.2785780795449408,2.323676811050671,100,0.029809267127111537,0.02988283129050006,0.23640655727191467,1.526582688453765
cl,ws,avalon,SVR,simple,0.2696760142206648,1.4932420480288338,1.2473785251696585,2.229771814001346,100,,,,
cl,ws,avalon,XGBoost,cv,0.3097508181330372,1.4516949926770113,1.1859202076546849,2.107418351763508,100,0.12189450601297257,0.11833712721970299,0.20149418690452087,1.5568994540671615
cl,ws,avalon,XGBoost,simple,0.24667510762591904,1.5165739351842233,1.219514196935296,2.2999965008801606,100,,,,
cl,ws,maccs,DNN,cv,0.4027905301781698,1.3503171120962154,1.113904059076309,1.823356303219863,100,0.22669490189622998,0.23937193646140803,0.33418109244852234,1.4055357341124182
cl,ws,maccs,DNN,simple,0.6600694603135775,1.018749762330004,0.7732950798422098,1.0378510782474395,100,,,,
cl,ws,maccs,LightGBM,cv,0.6237813697952093,1.0717477426715607,0.8397513121541158,1.1486432239215858,100,0.023411775852160057,0.03222302914410199,0.6010354648313616,1.1032003602482143
cl,ws,maccs,LightGBM,simple,0.6040359407384146,1.0995128579168054,0.8640532755156414,1.2089285247243813,100,,,,
cl,ws,maccs,RandomForest,cv,0.530907717139909,1.1967448650708619,0.9716171932972578,1.4321982720734754,100,0.022901314900426482,0.028610653007067423,0.5066742079061595,1.2269342613902665
cl,ws,maccs,RandomForest,simple,0.5426666907705491,1.1816499622340737,0.9555984476190473,1.396296633247788,100,,,,
cl,ws,maccs,Ridge,cv,0.6121146115088585,1.0882386308150012,0.8754771803108227,1.1842633175981083,100,0.12047857619437825,0.1394514526713651,0.4437969626551926,1.2956510923427698
cl,ws,maccs,Ridge,simple,0.5596912386881207,1.1594475097519792,0.9109096635529884,1.344318527870066,100,,,,
cl,ws,maccs,SVR,cv,0.43972786055707125,1.3078921766936593,1.0656013695105515,1.7105819458564784,100,0.03146777824737112,0.036476098625681394,0.4324313452544568,1.315875612398515
cl,ws,maccs,SVR,simple,0.4957508320880798,1.240780683238175,0.9920325034874768,1.5395367038969923,100,,,,
cl,ws,maccs,XGBoost,cv,0.6506950035896768,1.0327015465940832,0.8339895669996739,1.0664724843378115,100,0.04452278662571097,0.0590468468057822,0.5769831083547912,1.1349174970670053
cl,ws,maccs,XGBoost,simple,0.5966193250380967,1.1097623140565507,0.8845791466698052,1.2315723937001504,100,,,,
cl,ws,morgan,DNN,cv,0.3588536481346607,1.3991072797067408,1.152185338330269,1.9575011801283964,100,0.051283740301674485,0.053237248097990984,0.3248218325955826,1.4347719077825105
cl,ws,morgan,DNN,simple,0.2905127816707431,1.4717861660520184,1.2036656670689583,2.1661545185820996,100,,,,
cl,ws,morgan,LightGBM,cv,0.2807368184686386,1.4818912830925266,1.2257329920434659,2.1960017749056147,100,0.060859450941010605,0.06104837912388132,0.23551982837845759,1.5265412144929127
cl,ws,morgan,LightGBM,simple,0.28592819097968303,1.4765337299880117,1.2172526784833584,2.1801518557923107,100,,,,
cl,ws,morgan,RandomForest,cv,0.3229102306020004,1.4377903169220216,1.2125830828571424,2.0672409954347275,100,0.027341818393096913,0.028352519006567285,0.28997961699055147,1.4720660558142886
cl,ws,morgan,RandomForest,simple,0.32405425420259315,1.4365751446388324,1.2003831166666665,2.0637481461940825,100,,,,
cl,ws,morgan,Ridge,cv,0.20609659811157344,1.5568840163114592,1.2988235714749683,2.4238878402461004,100,0.07080302814570029,0.06523821204857293,0.07236766662699853,1.681643010658299
cl,ws,morgan,Ridge,simple,0.0198378978803041,1.7299015261406678,1.4434730910477207,2.992559290143812,100,,,,
cl,ws,morgan,SVR,cv,-0.05877734154831704,1.7979381505434018,1.5464758559503784,3.2325815931794284,100,0.035242885963912604,0.03004489432478149,-0.061229852928316085,1.7997685201146834
cl,ws,morgan,SVR,simple,-0.033811437838404235,1.7766140607149952,1.5291639280436673,3.1563575207302246,100,,,,
cl,ws,morgan,XGBoost,cv,0.4245675113148796,1.325469130569555,1.118789567399025,1.7568684160928116,100,0.045995448806142,0.050505798198725305,0.34905285595622493,1.4088553534043178
cl,ws,morgan,XGBoost,simple,0.3186970744384158,1.4422566678278175,1.1650510896772144,2.0801042958937996,100,,,,
cs,de,avalon,DNN,cv,0.7410443009409959,1.0876292571482116,0.8721596744202077,1.1829374010047706,225,0.010431066223275904,0.02090001022732148,0.7120913342747377,1.1466302136793451
cs,de,avalon,DNN,simple,0.7315835268231776,1.1073189385400766,0.8842583269988167,1.2261552316495217,225,,,,
cs,de,avalon,LightGBM,cv,0.7393463048609004,1.0911892728459183,0.8616318431374207,1.1906940291740038,225,0.009016324850962558,0.018058113711197307,0.7180145139192379,1.134818858727272
cs,de,avalon,LightGBM,simple,0.7578121884739426,1.0518269309830515,0.8296948712242571,1.1063398927412251,225,,,,
cs,de,avalon,RandomForest,cv,0.7051122907905931,1.1606371854912765,0.9109665588890731,1.3470786763451117,225,0.01612510123757867,0.030478976453201904,0.6891353225728357,1.191274196967816
cs,de,avalon,RandomForest,simple,0.7223271576562074,1.126250113678373,0.8890866709476288,1.268439318560548,225,,,,
cs,de,avalon,Ridge,cv,-1.4494764214451932,3.3450666584415867,2.403791821293079,11.189470949417563,225,0.3086932150490468,0.16245649164877118,-3.0469384598359985,4.2965633620656
cs,de,avalon,Ridge,simple,-1.8807563515074368,3.6276168369736874,2.6448075277541845,13.159603915894982,225,,,,
cs,de,avalon,SVR,cv,0.548401531336681,1.4362974028922058,1.1060160296485222,2.0629502295548954,225,0.010418448976010587,0.01643538011989896,0.5451244991445712,1.4414055440033027
cs,de,avalon,SVR,simple,0.5773243367252937,1.3895422818900791,1.069903144587528,1.9308277531602882,225,,,,
cs,de,avalon,XGBoost,cv,0.7419978871040827,1.0856248510232136,0.8617241837033961,1.1785813171591746,225,0.0069184299787127335,0.013174418772689279,0.686469660379559,1.1966898703480353
cs,de,avalon,XGBoost,simple,0.7145022839599786,1.1420088356324616,0.8895212125303349,1.3041841806626109,225,,,,
cs,de,maccs,DNN,cv,0.7543329805853128,1.059355128108787,0.7999274635345406,1.1222332874503842,225,0.016895357003469277,0.033905471982643105,0.7165401963317924,1.137420413652477
cs,de,maccs,DNN,simple,0.7492392025153576,1.0702813704243725,0.8112803891764746,1.1455022118774731,225,,,,
cs,de,maccs,LightGBM,cv,0.7185817344341867,1.1338204502736697,0.8466351410565537,1.2855488134587871,225,0.011295300119093443,0.022188199795098472,0.7001545143152297,1.1701427326162257
cs,de,maccs,LightGBM,simple,0.7033922279278577,1.164017228370635,0.8721483872956962,1.354936107943655,225,,,,
cs,de,maccs,RandomForest,cv,0.7005105329344876,1.16965806955547,0.8693724841662229,1.3680999996762284,225,0.014747281254982229,0.028209012292359364,0.6814200766278142,1.206031302567082
cs,de,maccs,RandomForest,simple,0.7073307852349644,1.15626309974636,0.850537253890926,1.336944355835061,225,,,,
cs,de,maccs,Ridge,cv,0.5134776623921101,1.4908005258130506,1.1256707555892704,2.2224862077644683,225,0.057404924583786716,0.08595581670265585,0.45564805359234295,1.574569674349074
cs,de,maccs,Ridge,simple,0.5069239161736978,1.5008079235016845,1.130209035671256,2.252424423245438,225,,,,
cs,de,maccs,SVR,cv,0.6133141979968104,1.3290681727042255,1.025708293584883,1.766422207695349,225,0.009914592001050127,0.016989526310397754,0.608092347416472,1.3379041584055171
cs,de,maccs,SVR,simple,0.636111141523462,1.2892956701857006,0.9918796391790953,1.6622833251595945,225,,,,
cs,de,maccs,XGBoost,cv,0.7262686734378658,1.1182280857781055,0.8159786466736925,1.2504340518229662,225,0.014821346330126078,0.028274973312314124,0.6777781298739959,1.212907490423778
cs,de,maccs,XGBoost,simple,0.7104444315179619,1.150096033268282,0.8448987496596408,1.3227208857394372,225,,,,
