dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
de,ti,maccs,DNN,0.864301,0.655162,0.817532,0.765647,0.057897072765382536,0.765647,0.057897072765382536
de,ti,avalon,DNN,0.870781,0.643231,0.814785,0.8017201999999999,0.027065911958772053,0.8017201999999999,0.027065911958772053
de,ti,morgan+maccs,DNN,0.801385,0.607998,0.84313,0.8201722,0.03238094108206243,0.8201722,0.03238094108206243
de,ti,morgan+avalon,DNN,0.8139,0.604354,0.838193,0.8270894,0.027917693863211548,0.8270894,0.027917693863211548
de,ti,maccs+avalon,DNN,0.763471,0.561413,0.857622,0.8484596,0.012233408888776685,0.8484596,0.012233408888776685
de,ti,morgan+maccs+avalon,DNN,0.745868,0.558492,0.864112,0.8427036000000001,0.022475402818192144,0.8427036000000001,0.022475402818192144
de,en,morgan,DNN,1.168026,0.858684,0.737145,0.7242331999999999,0.043375103155612216,0.7242331999999999,0.043375103155612216
de,en,maccs,DNN,1.023508,0.744964,0.798166,0.754255,0.021356908390495085,0.754255,0.021356908390495085
de,en,avalon,DNN,0.923645,0.665411,0.83563,0.8015015999999999,0.017605474621264834,0.8015015999999999,0.017605474621264834
de,en,morgan+maccs,DNN,0.965932,0.692704,0.820235,0.8139396,0.02970754614975797,0.8139396,0.02970754614975797
de,en,morgan+avalon,DNN,0.889782,0.657118,0.847462,0.8274868000000002,0.02639833788252586,0.8274868000000002,0.02639833788252586
de,en,maccs+avalon,DNN,0.874579,0.607348,0.85263,0.852707,0.015448546637143554,0.852707,0.015448546637143554
de,en,morgan+maccs+avalon,DNN,0.903283,0.652516,0.842798,0.8461460000000001,0.02171136859804098,0.8461460000000001,0.02171136859804098
lo,rm,morgan,DNN,0.99333,0.719656,0.598011,0.545403,0.07822367915407713,0.545403,0.07822367915407713
lo,rm,maccs,DNN,0.825085,0.618598,0.722653,0.6094826,0.0789962295798983,0.6094826,0.0789962295798983
lo,rm,avalon,DNN,0.926799,0.693827,0.650056,0.6242972,0.09751189316468019,0.6242972,0.09751189316468019
lo,rm,morgan+maccs,DNN,0.87771,0.640777,0.686145,0.6383304000000001,0.06320586796999152,0.6383304000000001,0.06320586796999152
lo,rm,morgan+avalon,DNN,0.885892,0.653315,0.680266,0.6493104,0.05113345419429438,0.6493104,0.05113345419429438
lo,rm,maccs+avalon,DNN,0.798379,0.589567,0.740316,0.6554292,0.06864248483381119,0.6554292,0.06864248483381119
