dataset,split,fp_combo,best_model,best_test_R2,best_cv_val_R2
hu,pc,maccs,DNN,0.787561,0.7828976
hu,pc,avalon,DNN,0.837428,0.8149748000000001
hu,pc,morgan+maccs,DNN,0.85651,0.8285876
hu,pc,morgan+avalon,DNN,0.864774,0.8316866
hu,pc,maccs+avalon,DNN,0.867444,0.8491645999999999
hu,pc,morgan+maccs+avalon,DNN,0.878811,0.8520163999999999
hu,ac,morgan,DNN,0.582242,0.793013
hu,ac,maccs,DNN,0.623416,0.823217
hu,ac,avalon,DNN,0.619348,0.8531578
hu,ac,morgan+maccs,DNN,0.678944,0.8717518
hu,ac,morgan+avalon,DNN,0.684498,0.8759162
hu,ac,maccs+avalon,DNN,0.694922,0.889846
hu,ac,morgan+maccs+avalon,DNN,0.698417,0.8910602000000001
hu,sa,morgan,DNN,0.787332,0.7366524
hu,sa,maccs,DNN,0.802355,0.7609438
hu,sa,avalon,DNN,0.82962,0.7949404
hu,sa,morgan+maccs,DNN,0.842791,0.8064738
hu,sa,morgan+avalon,DNN,0.84549,0.8249230000000001
hu,sa,maccs+avalon,DNN,0.855812,0.8348926000000001
hu,sa,morgan+maccs+avalon,DNN,0.868371,0.8323693999999999
hu,ti,morgan,DNN,0.77974,0.743884
hu,ti,maccs,DNN,0.800983,0.7700444000000001
hu,ti,avalon,DNN,0.853425,0.7906072
hu,ti,morgan+maccs,DNN,0.835871,0.8157956000000001
hu,ti,morgan+avalon,DNN,0.871704,0.8208202
hu,ti,maccs+avalon,DNN,0.865778,0.8359133999999999
hu,ti,morgan+maccs+avalon,DNN,0.866486,0.8396296
hu,en,morgan,DNN,0.796584,0.7626868
hu,en,maccs,DNN,0.774524,0.7834434
hu,en,avalon,DNN,0.828981,0.8208028
hu,en,morgan+maccs,DNN,0.845699,0.8318501999999999
hu,en,morgan+avalon,DNN,0.864385,0.8419504
hu,en,maccs+avalon,DNN,0.847616,0.85244
hu,en,morgan+maccs+avalon,DNN,0.865756,0.8526258
